School Number,School Name,Address,Suburb,Postcode,Latitude,Longitude
5900,Bubble 'n' Squeak - Port Augusta,38 Bond Street,Port Augusta,5700,-32.481968,137.7548027
5901,Stepping Stone Christie Downs CC,17 Elizabeth Road,Christie Downs,5164,-35.131672,138.4912558
5902,Emali Early Learning Ctr-Salisbury,60 Winzor Street,Salisbury,5108,-34.76352,138.6322928
5903,Emali Early Learning Ctr-Hectorville,38 Montacute Road,Hectorville,5073,-34.889764,138.6603351
5904,Stepping Stone Northfield CC&EDC,482-484 Grand Junction Road,Northfield,5085,-34.847629,138.619771
5905,Stepping Stone Tea Tree Gully CC,165 Hancock Road,Tea Tree Gully,5091,-34.820233,138.7189591
5907,Stepping Stone Happy Valley CC,12 Happy Valley Drive,Happy Valley,5159,-35.08429,138.581891
5908,Leveda Inc Babysitting Agency,2 Peaton Avenue,Ingle Farm,5098,-34.831085,138.6437116
5910,Portside Christian College OSHC,1 Causeway Road,New Port,5015,-34.851203,138.49542
5911,Westminster School OSHC,1-23 Alison Avenue,Marion,5043,-35.002781,138.551278
5913,Little Hearts Childcare Centre,131 Whitford Road,Elizabeth South,5112,-34.730178,138.658098
5914,Montessori Manor,2 McGowan Road,Para Hills,5096,-34.811371,138.66533
5915,Sherpa Kids Burc College,52-56 Wandana Avenue,Gilles Plains,5086,-34.8471481,138.6600995
5916,Sherpa Kids Prescott,354 Wright Road,Para Vista,5093,-34.834094,138.663587
5922,Inner Sth West Learning Together@Hm,80 Thomas Street,South Plympton,5038,-34.978139,138.557598
5966,Felixstow Community School OSHC,5-11 Briar Road,Felixstow,5070,-34.891299,138.64422
5967,Ardtornish Occasional Care,2 Saarinen Avenue,St Agnes,5097,-34.833595,138.704599
5968,Ceduna Occasional Care,2 Kelly Street,Ceduna,5690,-32.138886,133.669533
5969,Gabmididi Manoo Occasional Care,Cnr Clutterbuck St & Hincks Ave,Whyalla Norrie,5608,-33.026448,137.542801
5970,Disability Unit Madison Park School,19 Lincoln Avenue,Salisbury East,5109,-34.783863,138.662355
5973,Henley Beach PS OSHC,38 Hazel Terrace,Henley Beach South,5022,-34.929734,138.499429
5974,Taikurrendi Child and Family Ctr Occ,8 Price Street,Christies Beach,5165,-35.137434,138.480271
5975,Elizabeth Grove Child Ctr Occ Care,20 Haynes Street,Elizabeth Grove,5112,-34.731637,138.670909
5976,O'Sullivan Beach Children's Ctre CC,51A Galloway Road,O'Sullivan Beach,5166,-35.124449,138.48123
5979,APY Trade Training Centre,,Pipalyatjara,872,-26.46692,132.042466
